zip,primary_city,state,timezone
00501,Holtsville,NY,America/New_York
01001,Agawam,MA,America/New_York
01002,Amherst,MA,America/New_York
01003,Amherst,MA,America/New_York
01004,Amherst,MA,America/New_York
01005,Barre,MA,America/New_York
01007,Belchertown,MA,America/New_York
01008,Blandford,MA,America/New_York
01009,Bondsville,MA,America/New_York
01010,Brimfield,MA,America/New_York
01011,Chester,MA,America/New_York
01012,Chesterfield,MA,America/New_York
01013,Chicopee,MA,America/New_York
01014,Chicopee,MA,America/New_York
01020,Chicopee,MA,America/New_York
01021,Chicopee,MA,America/New_York
01022,Chicopee,MA,America/New_York
01026,Cummington,MA,America/New_York
01027,Easthampton,MA,America/New_York
01028,East Longmeadow,MA,America/New_York
01029,East Otis,MA,America/New_York
01030,Feeding Hills,MA,America/New_York
01031,Gilbertville,MA,America/New_York
01032,Goshen,MA,America/New_York
01033,Granby,MA,America/New_York
01034,Granville,MA,America/New_York
01035,Hadley,MA,America/New_York
01036,Hampden,MA,America/New_York
01037,Hardwick,MA,America/New_York
01038,Hatfield,MA,America/New_York
01039,Haydenville,MA,America/New_York
01040,Holyoke,MA,America/New_York
01041,Holyoke,MA,America/New_York
01050,Huntington,MA,America/New_York
01053,Leeds,MA,America/New_York
01054,Leverett,MA,America/New_York
01056,Ludlow,MA,America/New_York
01057,Monson,MA,America/New_York
01059,North Amherst,MA,America/New_York
01060,Northampton,MA,America/New_York
01061,Northampton,MA,America/New_York
01062,Florence,MA,America/New_York
01063,Northampton,MA,America/New_York
01066,North Hatfield,MA,America/New_York
01068,Oakham,MA,America/New_York
01069,Palmer,MA,America/New_York
01070,Plainfield,MA,America/New_York
01071,Russell,MA,America/New_York
01072,Shutesbury,MA,America/New_York
01073,Southampton,MA,America/New_York
01074,South Barre,MA,America/New_York
01075,South Hadley,MA,America/New_York
01077,Southwick,MA,America/New_York
01079,Thorndike,MA,America/New_York
01080,Three Rivers,MA,America/New_York
01081,Wales,MA,America/New_York
01082,Ware,MA,America/New_York
01083,Warren,MA,America/New_York
01084,West Chesterfield,MA,America/New_York
01085,Westfield,MA,America/New_York
01086,Westfield,MA,America/New_York
01088,West Hatfield,MA,America/New_York
01089,West Springfield,MA,America/New_York
01090,West Springfield,MA,America/New_York
01092,West Warren,MA,America/New_York
01093,Whately,MA,America/New_York
01094,Wheelwright,MA,America/New_York
01095,Wilbraham,MA,America/New_York
01096,Williamsburg,MA,America/New_York
01097,Woronoco,MA,America/New_York
01098,Worthington,MA,America/New_York
01101,Springfield,MA,America/New_York
01103,Springfield,MA,America/New_York
01104,Springfield,MA,America/New_York
01105,Springfield,MA,America/New_York
01106,Longmeadow,MA,America/New_York
01107,Springfield,MA,America/New_York
01108,Springfield,MA,America/New_York
01109,Springfield,MA,America/New_York
01115,Springfield,MA,America/New_York
01116,Longmeadow,MA,America/New_York
01118,Springfield,MA,America/New_York
01119,Springfield,MA,America/New_York
01128,Springfield,MA,America/New_York
01129,Springfield,MA,America/New_York
01138,Springfield,MA,America/New_York
01139,Springfield,MA,America/New_York
01151,Indian Orchard,MA,America/New_York
01201,Pittsfield,MA,America/New_York
01202,Pittsfield,MA,America/New_York
01220,Adams,MA,America/New_York
01222,Ashley Falls,MA,America/New_York
01223,Becket,MA,America/New_York
01224,Berkshire,MA,America/New_York
01225,Cheshire,MA,America/New_York
01226,Dalton,MA,America/New_York
01227,Dalton,MA,America/New_York
01229,Glendale,MA,America/New_York
01230,Great Barrington,MA,America/New_York
01235,Hinsdale,MA,America/New_York
01236,Housatonic,MA,America/New_York
01237,Lanesboro,MA,America/New_York
01238,Lee,MA,America/New_York
01240,Lenox,MA,America/New_York
01242,Lenox Dale,MA,America/New_York
01243,Middlefield,MA,America/New_York
01244,Mill River,MA,America/New_York
01245,Monterey,MA,America/New_York
01247,North Adams,MA,America/New_York
01252,North Egremont,MA,America/New_York
01253,Otis,MA,America/New_York
01254,Richmond,MA,America/New_York
01255,Sandisfield,MA,America/New_York
01256,Savoy,MA,America/New_York
01257,Sheffield,MA,America/New_York
01258,South Egremont,MA,America/New_York
01259,Southfield,MA,America/New_York
01260,South Lee,MA,America/New_York
01262,Stockbridge,MA,America/New_York
01264,Tyringham,MA,America/New_York
01266,West Stockbridge,MA,America/New_York
01267,Williamstown,MA,America/New_York
01270,Windsor,MA,America/New_York
01301,Greenfield,MA,America/New_York
01302,Greenfield,MA,America/New_York
01330,Ashfield,MA,America/New_York
01331,Athol,MA,America/New_York
01337,Bernardston,MA,America/New_York
01338,Buckland,MA,America/New_York
01339,Charlemont,MA,America/New_York
01340,Colrain,MA,America/New_York
01341,Conway,MA,America/New_York
01342,Deerfield,MA,America/New_York
01343,Drury,MA,America/New_York
01344,Erving,MA,America/New_York
01346,Heath,MA,America/New_York
01347,Lake Pleasant,MA,America/New_York
01349,Millers Falls,MA,America/New_York
01350,Monroe Bridge,MA,America/New_York
01351,Montague,MA,America/New_York
01354,Gill,MA,America/New_York
01355,New Salem,MA,America/New_York
01360,Northfield,MA,America/New_York
01364,Orange,MA,America/New_York
01366,Petersham,MA,America/New_York
01367,Rowe,MA,America/New_York
01368,Royalston,MA,America/New_York
01370,Shelburne Falls,MA,America/New_York
01373,South Deerfield,MA,America/New_York
01375,Sunderland,MA,America/New_York
01376,Turners Falls,MA,America/New_York
01378,Warwick,MA,America/New_York
01379,Wendell,MA,America/New_York
01380,Wendell Depot,MA,America/New_York
01420,Fitchburg,MA,America/New_York
01430,Ashburnham,MA,America/New_York
01431,Ashby,MA,America/New_York
01432,Ayer,MA,America/New_York
01434,Devens,MA,America/New_York
01436,Baldwinville,MA,America/New_York
01438,East Templeton,MA,America/New_York
01440,Gardner,MA,America/New_York
01450,Groton,MA,America/New_York
01451,Harvard,MA,America/New_York
01452,Hubbardston,MA,America/New_York
01453,Leominster,MA,America/New_York
01460,Littleton,MA,America/New_York
01462,Lunenburg,MA,America/New_York
01463,Pepperell,MA,America/New_York
01464,Shirley,MA,America/New_York
01467,Still River,MA,America/New_York
01468,Templeton,MA,America/New_York
01469,Townsend,MA,America/New_York
01472,West Groton,MA,America/New_York
01473,Westminster,MA,America/New_York
01474,West Townsend,MA,America/New_York
01475,Winchendon,MA,America/New_York
01477,Winchendon Springs,MA,America/New_York
01501,Auburn,MA,America/New_York
01503,Berlin,MA,America/New_York
01504,Blackstone,MA,America/New_York
01505,Boylston,MA,America/New_York
01506,Brookfield,MA,America/New_York
01507,Charlton,MA,America/New_York
01508,Charlton City,MA,America/New_York
01509,Charlton Depot,MA,America/New_York
01510,Clinton,MA,America/New_York
01515,East Brookfield,MA,America/New_York
01516,Douglas,MA,America/New_York
01518,Fiskdale,MA,America/New_York
01519,Grafton,MA,America/New_York
01520,Holden,MA,America/New_York
01521,Holland,MA,America/New_York
01522,Jefferson,MA,America/New_York
01523,Lancaster,MA,America/New_York
01524,Leicester,MA,America/New_York
01525,Linwood,MA,America/New_York
01526,Manchaug,MA,America/New_York
01527,Millbury,MA,America/New_York
01529,Millville,MA,America/New_York
01531,New Braintree,MA,America/New_York
01532,Northborough,MA,America/New_York
01534,Northbridge,MA,America/New_York
01535,North Brookfield,MA,America/New_York
01536,North Grafton,MA,America/New_York
01537,North Oxford,MA,America/New_York
01538,North Uxbridge,MA,America/New_York
01540,Oxford,MA,America/New_York
01541,Princeton,MA,America/New_York
01542,Rochdale,MA,America/New_York
01543,Rutland,MA,America/New_York
01545,Shrewsbury,MA,America/New_York
01550,Southbridge,MA,America/New_York
01560,South Grafton,MA,America/New_York
01561,South Lancaster,MA,America/New_York
01562,Spencer,MA,America/New_York
01564,Sterling,MA,America/New_York
01566,Sturbridge,MA,America/New_York
01568,Upton,MA,America/New_York
01569,Uxbridge,MA,America/New_York
01570,Webster,MA,America/New_York
01571,Dudley,MA,America/New_York
01581,Westborough,MA,America/New_York
01583,West Boylston,MA,America/New_York
01585,West Brookfield,MA,America/New_York
01588,Whitinsville,MA,America/New_York
01590,Sutton,MA,America/New_York
01601,Worcester,MA,America/New_York
01602,Worcester,MA,America/New_York
01603,Worcester,MA,America/New_York
01604,Worcester,MA,America/New_York
01605,Worcester,MA,America/New_York
01606,Worcester,MA,America/New_York
01607,Worcester,MA,America/New_York
01608,Worcester,MA,America/New_York
01609,Worcester,MA,America/New_York
01610,Worcester,MA,America/New_York
01611,Cherry Valley,MA,America/New_York
01612,Paxton,MA,America/New_York
01613,Worcester,MA,America/New_York
01614,Worcester,MA,America/New_York
01615,Worcester,MA,America/New_York
01701,Framingham,MA,America/New_York
01702,Framingham,MA,America/New_York
01703,Framingham,MA,America/New_York
01704,Framingham,MA,America/New_York
01705,Framingham,MA,America/New_York
01718,Village Of Nagog Woods,MA,America/New_York
01719,Boxborough,MA,America/New_York
01720,Acton,MA,America/New_York
01721,Ashland,MA,America/New_York
01730,Bedford,MA,America/New_York
01731,Hanscom Afb,MA,America/New_York
01740,Bolton,MA,America/New_York
01741,Carlisle,MA,America/New_York
01742,Concord,MA,America/New_York
01745,Fayville,MA,America/New_York
01746,Holliston,MA,America/New_York
01747,Hopedale,MA,America/New_York
01748,Hopkinton,MA,America/New_York
01749,Hudson,MA,America/New_York
01752,Marlborough,MA,America/New_York
01754,Maynard,MA,America/New_York
01756,Mendon,MA,America/New_York
01757,Milford,MA,America/New_York
01760,Natick,MA,America/New_York
01770,Sherborn,MA,America/New_York
01772,Southborough,MA,America/New_York
01773,Lincoln,MA,America/New_York
01775,Stow,MA,America/New_York
01776,Sudbury,MA,America/New_York
01778,Wayland,MA,America/New_York
01784,Woodville,MA,America/New_York
01801,Woburn,MA,America/New_York
01803,Burlington,MA,America/New_York
01810,Andover,MA,America/New_York
01821,Billerica,MA,America/New_York
01824,Chelmsford,MA,America/New_York
01826,Dracut,MA,America/New_York
01827,Dunstable,MA,America/New_York
01830,Haverhill,MA,America/New_York
01831,Haverhill,MA,America/New_York
01832,Haverhill,MA,America/New_York
01833,Georgetown,MA,America/New_York
01834,Groveland,MA,America/New_York
01835,Haverhill,MA,America/New_York
01840,Lawrence,MA,America/New_York
01841,Lawrence,MA,America/New_York
01842,Lawrence,MA,America/New_York
01843,Lawrence,MA,America/New_York
01844,Methuen,MA,America/New_York
01845,North Andover,MA,America/New_York
01850,Lowell,MA,America/New_York
01851,Lowell,MA,America/New_York
01852,Lowell,MA,America/New_York
01853,Lowell,MA,America/New_York
01854,Lowell,MA,America/New_York
01860,Merrimac,MA,America/New_York
01862,North Billerica,MA,America/New_York
01863,North Chelmsford,MA,America/New_York
01864,North Reading,MA,America/New_York
01865,Nutting Lake,MA,America/New_York
01866,Pinehurst,MA,America/New_York
01867,Reading,MA,America/New_York
01876,Tewksbury,MA,America/New_York
01879,Tyngsboro,MA,America/New_York
01880,Wakefield,MA,America/New_York
01885,West Boxford,MA,America/New_York
01886,Westford,MA,America/New_York
01887,Wilmington,MA,America/New_York
01888,Woburn,MA,America/New_York
01890,Winchester,MA,America/New_York
01901,Lynn,MA,America/New_York
01902,Lynn,MA,America/New_York
01903,Lynn,MA,America/New_York
01904,Lynn,MA,America/New_York
01905,Lynn,MA,America/New_York
01906,Saugus,MA,America/New_York
01907,Swampscott,MA,America/New_York
01908,Nahant,MA,America/New_York
01913,Amesbury,MA,America/New_York
01915,Beverly,MA,America/New_York
01921,Boxford,MA,America/New_York
01922,Byfield,MA,America/New_York
01923,Danvers,MA,America/New_York
01929,Essex,MA,America/New_York
01930,Gloucester,MA,America/New_York
01931,Gloucester,MA,America/New_York
01936,Hamilton,MA,America/New_York
01937,Hathorne,MA,America/New_York
01938,Ipswich,MA,America/New_York
01940,Lynnfield,MA,America/New_York
01944,Manchester,MA,America/New_York
01945,Marblehead,MA,America/New_York
01949,Middleton,MA,America/New_York
01950,Newburyport,MA,America/New_York
01951,Newbury,MA,America/New_York
01952,Salisbury,MA,America/New_York
01960,Peabody,MA,America/New_York
01961,Peabody,MA,America/New_York
01965,Prides Crossing,MA,America/New_York
01966,Rockport,MA,America/New_York
01969,Rowley,MA,America/New_York
01970,Salem,MA,America/New_York
01971,Salem,MA,America/New_York
01982,South Hamilton,MA,America/New_York
01983,Topsfield,MA,America/New_York
01984,Wenham,MA,America/New_York
01985,West Newbury,MA,America/New_York
02018,Accord,MA,America/New_York
02019,Bellingham,MA,America/New_York
02020,Brant Rock,MA,America/New_York
02021,Canton,MA,America/New_York
02025,Cohasset,MA,America/New_York
02026,Dedham,MA,America/New_York
02027,Dedham,MA,America/New_York
02030,Dover,MA,America/New_York
02032,East Walpole,MA,America/New_York
02035,Foxboro,MA,America/New_York
02038,Franklin,MA,America/New_York
02040,Greenbush,MA,America/New_York
02041,Green Harbor,MA,America/New_York
02043,Hingham,MA,America/New_York
02045,Hull,MA,America/New_York
02047,Humarock,MA,America/New_York
02048,Mansfield,MA,America/New_York
02050,Marshfield,MA,America/New_York
02051,Marshfield Hills,MA,America/New_York
02052,Medfield,MA,America/New_York
02053,Medway,MA,America/New_York
02054,Millis,MA,America/New_York
02055,Minot,MA,America/New_York
02056,Norfolk,MA,America/New_York
02059,North Marshfield,MA,America/New_York
02060,North Scituate,MA,America/New_York
02061,Norwell,MA,America/New_York
02062,Norwood,MA,America/New_York
02065,Ocean Bluff,MA,America/New_York
02066,Scituate,MA,America/New_York
02067,Sharon,MA,America/New_York
02070,Sheldonville,MA,America/New_York
02071,South Walpole,MA,America/New_York
02072,Stoughton,MA,America/New_York
02081,Walpole,MA,America/New_York
02090,Westwood,MA,America/New_York
02093,Wrentham,MA,America/New_York
02108,Boston,MA,America/New_York
02109,Boston,MA,America/New_York
02110,Boston,MA,America/New_York
02111,Boston,MA,America/New_York
02112,Boston,MA,America/New_York
02113,Boston,MA,America/New_York
02114,Boston,MA,America/New_York
02115,Boston,MA,America/New_York
02116,Boston,MA,America/New_York
02117,Boston,MA,America/New_York
02118,Boston,MA,America/New_York
02119,Roxbury,MA,America/New_York
02120,Roxbury Crossing,MA,America/New_York
02121,Dorchester,MA,America/New_York
02122,Dorchester,MA,America/New_York
02123,Boston,MA,America/New_York
02124,Dorchester Center,MA,America/New_York
02125,Dorchester,MA,America/New_York
02126,Mattapan,MA,America/New_York
02127,Boston,MA,America/New_York
02128,Boston,MA,America/New_York
02129,Charlestown,MA,America/New_York
02130,Jamaica Plain,MA,America/New_York
02131,Roslindale,MA,America/New_York
02132,West Roxbury,MA,America/New_York
02134,Allston,MA,America/New_York
02135,Brighton,MA,America/New_York
02136,Hyde Park,MA,America/New_York
02137,Readville,MA,America/New_York
02138,Cambridge,MA,America/New_York
02139,Cambridge,MA,America/New_York
02140,Cambridge,MA,America/New_York
02141,Cambridge,MA,America/New_York
02142,Cambridge,MA,America/New_York
02143,Somerville,MA,America/New_York
02144,Somerville,MA,America/New_York
02145,Somerville,MA,America/New_York
02148,Malden,MA,America/New_York
02149,Everett,MA,America/New_York
02150,Chelsea,MA,America/New_York
02151,Revere,MA,America/New_York
02152,Winthrop,MA,America/New_York
02155,Medford,MA,America/New_York
02156,West Medford,MA,America/New_York
02163,Boston,MA,America/New_York
02169,Quincy,MA,America/New_York
02170,Quincy,MA,America/New_York
02171,Quincy,MA,America/New_York
02176,Melrose,MA,America/New_York
02180,Stoneham,MA,America/New_York
02184,Braintree,MA,America/New_York
02185,Braintree,MA,America/New_York
02186,Milton,MA,America/New_York
02187,Milton Village,MA,America/New_York
02188,Weymouth,MA,America/New_York
02189,East Weymouth,MA,America/New_York
02190,South Weymouth,MA,America/New_York
02191,North Weymouth,MA,America/New_York
02196,Boston,MA,America/New_York
02199,Boston,MA,America/New_York
02201,Boston,MA,America/New_York
02205,Boston,MA,America/New_York
02210,Boston,MA,America/New_York
02215,Boston,MA,America/New_York
02216,Boston,MA,America/New_York
02228,East Boston,MA,America/New_York
02238,Cambridge,MA,America/New_York
02269,Quincy,MA,America/New_York
02301,Brockton,MA,America/New_York
02302,Brockton,MA,America/New_York
02303,Brockton,MA,America/New_York
02304,Brockton,MA,America/New_York
02305,Brockton,MA,America/New_York
02322,Avon,MA,America/New_York
02324,Bridgewater,MA,America/New_York
02325,Bridgewater,MA,America/New_York
02327,Bryantville,MA,America/New_York
02330,Carver,MA,America/New_York
02331,Duxbury,MA,America/New_York
02332,Duxbury,MA,America/New_York
02333,East Bridgewater,MA,America/New_York
02334,Easton,MA,America/New_York
02337,Elmwood,MA,America/New_York
02338,Halifax,MA,America/New_York
02339,Hanover,MA,America/New_York
02341,Hanson,MA,America/New_York
02343,Holbrook,MA,America/New_York
02345,Manomet,MA,America/New_York
02346,Middleboro,MA,America/New_York
02347,Lakeville,MA,America/New_York
02350,Monponsett,MA,America/New_York
02351,Abington,MA,America/New_York
02355,North Carver,MA,America/New_York
02356,North Easton,MA,America/New_York
02357,North Easton,MA,America/New_York
02358,North Pembroke,MA,America/New_York
02359,Pembroke,MA,America/New_York
02360,Plymouth,MA,America/New_York
02361,Plymouth,MA,America/New_York
02362,Plymouth,MA,America/New_York
02364,Kingston,MA,America/New_York
02366,South Carver,MA,America/New_York
02367,Plympton,MA,America/New_York
02368,Randolph,MA,America/New_York
02370,Rockland,MA,America/New_York
02375,South Easton,MA,America/New_York
02379,West Bridgewater,MA,America/New_York
02381,White Horse Beach,MA,America/New_York
02382,Whitman,MA,America/New_York
02420,Lexington,MA,America/New_York
02421,Lexington,MA,America/New_York
02445,Brookline,MA,America/New_York
02446,Brookline,MA,America/New_York
02447,Brookline Village,MA,America/New_York
02451,Waltham,MA,America/New_York
02452,Waltham,MA,America/New_York
02453,Waltham,MA,America/New_York
02454,Waltham,MA,America/New_York
02455,North Waltham,MA,America/New_York
02456,New Town,MA,America/New_York
02457,Babson Park,MA,America/New_York
02458,Newton,MA,America/New_York
02459,Newton Center,MA,America/New_York
02460,Newtonville,MA,America/New_York
02461,Newton Highlands,MA,America/New_York
02462,Newton Lower Falls,MA,America/New_York
02464,Newton Upper Falls,MA,America/New_York
02465,West Newton,MA,America/New_York
02466,Auburndale,MA,America/New_York
